,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AXP,AXP,AXP,AXP,AXP,AXP,BA,BA,BA,BA,BA,BA,CAT,CAT,CAT,CAT,CAT,CAT,CSCO,CSCO,CSCO,CSCO,CSCO,CSCO,CVX,CVX,CVX,CVX,CVX,CVX,DIS,DIS,DIS,DIS,DIS,DIS,GS,GS,GS,GS,GS,GS,HD,HD,HD,HD,HD,HD,IBM,IBM,IBM,IBM,IBM,IBM,INTC,INTC,INTC,INTC,INTC,INTC,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ,JPM,JPM,JPM,JPM,JPM,JPM,KO,KO,KO,KO,KO,KO,MCD,MCD,MCD,MCD,MCD,MCD,MMM,MMM,MMM,MMM,MMM,MMM,MRK,MRK,MRK,MRK,MRK,MRK,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,NKE,NKE,NKE,NKE,NKE,NKE,PFE,PFE,PFE,PFE,PFE,PFE,PG,PG,PG,PG,PG,PG,TRV,TRV,TRV,TRV,TRV,TRV,UNH,UNH,UNH,UNH,UNH,UNH,V,V,V,V,V,V,VZ,VZ,VZ,VZ,VZ,VZ,WBA,WBA,WBA,WBA,WBA,WBA,WMT,WMT,WMT,WMT,WMT,WMT,XOM,XOM,XOM,XOM,XOM,XOM
,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME,BID PRICE,BID VOLUME,BID TIME,ASK PRICE,ASK VOLUME,ASK TIME
2020-06-26 09:31:00,363.83,15,2020-06-26 09:30:19,365.0,167,2020-06-26 09:31:00,95.7,4,2020-06-26 09:30:06,96.42,2,2020-06-26 09:30:02,171.9,2,2020-06-26 09:30:18,173.7,2,2020-06-26 09:30:03,124.0,6,2020-06-26 09:30:05,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.2,18,2020-06-26 09:30:06,88.5,2,2020-06-26 09:30:05,89.0,3,2020-06-26 09:30:05,110.72,1,2020-06-26 09:30:23,111.24,2,2020-06-26 09:30:53,198.7,2,2020-06-26 09:30:10,199.94,1,2020-06-26 09:30:32,244.6,3,2020-06-26 09:30:11,245.93,3,2020-06-26 09:30:11,118.1,8,2020-06-26 09:30:43,119.0,1,2020-06-26 09:30:11,58.28,14,2020-06-26 09:30:20,58.69,2,2020-06-26 09:30:58,139.09,2,2020-06-26 09:30:58,139.94,2,2020-06-26 09:30:13,94.71,5,2020-06-26 09:30:35,95.52,1,2020-06-26 09:30:13,44.8,15,2020-06-26 09:30:30,45.0,5,2020-06-26 09:30:07,182.0,1,2020-06-26 09:30:15,182.65,3,2020-06-26 09:30:57,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:30:35,76.2,8,2020-06-26 09:30:59,76.91,2,2020-06-26 09:30:15,199.49,9,2020-06-26 09:30:16,199.98,1,2020-06-26 09:30:16,98.31,2,2020-06-26 09:30:18,98.8,25,2020-06-26 09:30:47,32.23,8,2020-06-26 09:30:19,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.38,2,2020-06-26 09:31:00,112.6,2,2020-06-26 09:30:20,114.02,2,2020-06-26 09:30:20,294.1,2,2020-06-26 09:30:21,296.22,3,2020-06-26 09:30:21,192.82,1,2020-06-26 09:30:22,193.8,1,2020-06-26 09:30:22,53.83,17,2020-06-26 09:30:30,54.24,5,2020-06-26 09:30:21,41.6,8,2020-06-26 09:30:23,42.2,8,2020-06-26 09:30:23,119.41,2,2020-06-26 09:30:23,119.9,2,2020-06-26 09:30:23,44.78,5,2020-06-26 09:30:17,44.99,4,2020-06-26 09:30:08
2020-06-26 09:32:00,363.83,15,2020-06-26 09:30:19,365.33,1,2020-06-26 09:31:16,95.7,4,2020-06-26 09:30:06,96.42,2,2020-06-26 09:30:02,171.9,2,2020-06-26 09:30:18,173.85,9,2020-06-26 09:31:19,123.84,3,2020-06-26 09:31:59,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.2,18,2020-06-26 09:30:06,88.31,1,2020-06-26 09:31:57,89.0,3,2020-06-26 09:30:05,110.72,1,2020-06-26 09:30:23,111.24,2,2020-06-26 09:30:53,198.7,3,2020-06-26 09:31:58,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.0,1,2020-06-26 09:31:15,118.1,8,2020-06-26 09:30:23,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.9,1,2020-06-26 09:31:56,139.94,2,2020-06-26 09:30:13,94.71,8,2020-06-26 09:31:59,95.52,1,2020-06-26 09:30:13,44.73,4,2020-06-26 09:32:00,45.0,5,2020-06-26 09:30:07,182.0,1,2020-06-26 09:30:15,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,1,2020-06-26 09:31:56,76.91,2,2020-06-26 09:30:15,199.36,17,2020-06-26 09:32:00,199.98,1,2020-06-26 09:30:16,98.16,9,2020-06-26 09:31:21,98.8,25,2020-06-26 09:30:47,32.08,8,2020-06-26 09:31:59,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.02,2,2020-06-26 09:30:20,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.82,1,2020-06-26 09:30:22,193.83,3,2020-06-26 09:31:28,53.83,17,2020-06-26 09:30:30,54.24,5,2020-06-26 09:30:21,41.6,8,2020-06-26 09:30:23,42.2,8,2020-06-26 09:30:23,119.41,2,2020-06-26 09:30:23,119.9,2,2020-06-26 09:30:23,44.68,6,2020-06-26 09:31:58,44.99,4,2020-06-26 09:30:08
2020-06-26 09:33:00,363.33,1,2020-06-26 09:32:45,365.13,4,2020-06-26 09:31:17,95.35,2,2020-06-26 09:32:46,96.42,2,2020-06-26 09:30:02,171.33,5,2020-06-26 09:32:20,173.85,9,2020-06-26 09:31:18,123.84,3,2020-06-26 09:31:59,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,88.06,2,2020-06-26 09:32:46,89.0,3,2020-06-26 09:30:05,110.65,2,2020-06-26 09:32:51,111.24,2,2020-06-26 09:30:53,197.8,12,2020-06-26 09:32:56,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.0,1,2020-06-26 09:31:15,118.1,8,2020-06-26 09:30:23,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.9,1,2020-06-26 09:31:56,139.94,2,2020-06-26 09:30:13,94.31,4,2020-06-26 09:32:49,95.52,1,2020-06-26 09:30:13,44.68,8,2020-06-26 09:32:21,45.0,5,2020-06-26 09:30:07,182.0,1,2020-06-26 09:30:15,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,1,2020-06-26 09:32:01,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.95,9,2020-06-26 09:32:35,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.02,2,2020-06-26 09:30:20,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.78,3,2020-06-26 09:32:42,193.83,3,2020-06-26 09:31:28,53.81,35,2020-06-26 09:32:59,54.24,5,2020-06-26 09:30:21,41.6,8,2020-06-26 09:30:23,42.2,8,2020-06-26 09:30:23,119.32,2,2020-06-26 09:33:00,119.9,2,2020-06-26 09:30:23,44.62,5,2020-06-26 09:32:48,44.99,4,2020-06-26 09:30:08
2020-06-26 09:34:00,363.33,1,2020-06-26 09:32:45,365.33,1,2020-06-26 09:31:16,95.35,2,2020-06-26 09:33:58,96.42,2,2020-06-26 09:30:02,171.33,5,2020-06-26 09:32:20,173.85,9,2020-06-26 09:31:18,123.51,5,2020-06-26 09:34:00,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,87.94,2,2020-06-26 09:33:59,89.0,3,2020-06-26 09:30:05,110.65,2,2020-06-26 09:34:00,111.24,2,2020-06-26 09:30:53,197.26,2,2020-06-26 09:33:58,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.0,1,2020-06-26 09:31:15,118.1,8,2020-06-26 09:30:23,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.9,1,2020-06-26 09:31:56,139.94,2,2020-06-26 09:30:13,94.02,7,2020-06-26 09:33:57,95.14,4,2020-06-26 09:31:26,44.68,8,2020-06-26 09:32:21,45.0,5,2020-06-26 09:30:07,182.0,1,2020-06-26 09:30:15,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,1,2020-06-26 09:32:01,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.95,9,2020-06-26 09:32:35,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.02,2,2020-06-26 09:30:20,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.72,7,2020-06-26 09:33:05,193.83,3,2020-06-26 09:31:28,53.76,4,2020-06-26 09:33:57,54.24,5,2020-06-26 09:30:21,41.6,8,2020-06-26 09:30:23,42.2,8,2020-06-26 09:30:23,119.3,2,2020-06-26 09:33:14,119.9,2,2020-06-26 09:30:23,44.61,22,2020-06-26 09:33:59,44.99,4,2020-06-26 09:30:08
2020-06-26 09:35:00,363.33,1,2020-06-26 09:32:45,365.3,1,2020-06-26 09:31:16,95.11,3,2020-06-26 09:34:11,96.42,2,2020-06-26 09:30:02,171.1,3,2020-06-26 09:34:10,173.85,9,2020-06-26 09:31:18,123.51,8,2020-06-26 09:33:57,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,87.8,1,2020-06-26 09:34:09,89.0,3,2020-06-26 09:30:05,110.53,2,2020-06-26 09:34:10,111.24,2,2020-06-26 09:30:53,196.8,10,2020-06-26 09:34:09,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.2,2,2020-06-26 09:34:55,117.9,2,2020-06-26 09:34:09,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.9,1,2020-06-26 09:31:56,139.94,2,2020-06-26 09:30:13,94.01,9,2020-06-26 09:34:09,95.52,1,2020-06-26 09:30:13,44.67,9,2020-06-26 09:34:11,45.0,5,2020-06-26 09:30:07,182.0,1,2020-06-26 09:30:15,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,1,2020-06-26 09:32:01,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.62,2,2020-06-26 09:34:44,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.02,2,2020-06-26 09:30:20,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.69,2,2020-06-26 09:34:37,193.83,3,2020-06-26 09:31:28,53.73,6,2020-06-26 09:34:09,54.24,5,2020-06-26 09:30:21,41.6,8,2020-06-26 09:30:23,42.2,8,2020-06-26 09:30:23,119.3,2,2020-06-26 09:33:14,119.9,2,2020-06-26 09:30:23,44.55,15,2020-06-26 09:34:11,44.99,4,2020-06-26 09:30:08
2020-06-26 09:36:00,363.33,1,2020-06-26 09:32:45,365.33,1,2020-06-26 09:31:16,95.11,3,2020-06-26 09:34:11,96.42,2,2020-06-26 09:30:02,171.1,3,2020-06-26 09:34:10,173.85,9,2020-06-26 09:31:18,123.51,8,2020-06-26 09:33:57,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,87.8,1,2020-06-26 09:34:09,89.0,3,2020-06-26 09:30:05,110.53,2,2020-06-26 09:34:10,111.24,2,2020-06-26 09:30:53,196.8,10,2020-06-26 09:35:55,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.2,2,2020-06-26 09:34:55,117.9,2,2020-06-26 09:34:09,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.88,3,2020-06-26 09:35:49,139.94,2,2020-06-26 09:30:13,94.01,9,2020-06-26 09:34:09,95.21,9,2020-06-26 09:31:21,44.67,9,2020-06-26 09:34:11,45.0,5,2020-06-26 09:30:07,181.88,6,2020-06-26 09:35:49,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,1,2020-06-26 09:32:01,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.61,10,2020-06-26 09:35:33,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.06,1,2020-06-26 09:35:05,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.69,2,2020-06-26 09:34:37,193.83,3,2020-06-26 09:31:28,53.73,6,2020-06-26 09:34:09,54.24,5,2020-06-26 09:30:21,41.6,8,2020-06-26 09:30:23,42.2,8,2020-06-26 09:30:23,119.3,2,2020-06-26 09:33:14,119.9,2,2020-06-26 09:30:23,44.55,15,2020-06-26 09:34:11,44.99,4,2020-06-26 09:30:08
2020-06-26 09:37:00,363.33,1,2020-06-26 09:32:45,365.33,1,2020-06-26 09:31:16,95.11,3,2020-06-26 09:34:11,96.42,2,2020-06-26 09:30:02,171.1,3,2020-06-26 09:34:10,173.85,9,2020-06-26 09:31:18,123.51,8,2020-06-26 09:33:57,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,87.8,6,2020-06-26 09:36:57,89.0,3,2020-06-26 09:30:05,110.53,2,2020-06-26 09:34:10,111.24,2,2020-06-26 09:30:53,196.52,2,2020-06-26 09:36:53,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.2,2,2020-06-26 09:34:55,117.9,2,2020-06-26 09:34:09,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.75,4,2020-06-26 09:36:37,139.94,2,2020-06-26 09:30:13,94.01,9,2020-06-26 09:34:09,95.14,4,2020-06-26 09:31:26,44.67,9,2020-06-26 09:34:11,45.0,5,2020-06-26 09:30:07,181.7,3,2020-06-26 09:36:56,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,1,2020-06-26 09:32:01,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.61,10,2020-06-26 09:35:33,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.06,1,2020-06-26 09:35:05,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.69,2,2020-06-26 09:34:37,193.83,3,2020-06-26 09:31:28,53.73,6,2020-06-26 09:34:09,54.24,5,2020-06-26 09:30:21,41.58,4,2020-06-26 09:36:46,42.2,8,2020-06-26 09:30:23,119.3,2,2020-06-26 09:33:14,119.9,2,2020-06-26 09:30:23,44.53,15,2020-06-26 09:36:57,44.99,4,2020-06-26 09:30:08
2020-06-26 09:38:00,363.33,1,2020-06-26 09:32:45,365.33,1,2020-06-26 09:31:16,95.11,3,2020-06-26 09:34:11,96.42,2,2020-06-26 09:30:02,171.1,3,2020-06-26 09:34:10,173.85,9,2020-06-26 09:31:18,123.45,12,2020-06-26 09:37:40,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,87.75,9,2020-06-26 09:37:51,89.0,3,2020-06-26 09:30:05,110.53,2,2020-06-26 09:34:10,111.24,2,2020-06-26 09:30:53,196.27,1,2020-06-26 09:37:15,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.2,2,2020-06-26 09:34:55,117.9,2,2020-06-26 09:34:09,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.69,7,2020-06-26 09:37:46,139.94,2,2020-06-26 09:30:13,93.96,20,2020-06-26 09:37:11,95.28,8,2020-06-26 09:31:20,44.67,9,2020-06-26 09:34:11,45.0,5,2020-06-26 09:30:07,181.7,3,2020-06-26 09:36:56,182.76,9,2020-06-26 09:31:42,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,5,2020-06-26 09:37:05,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.61,10,2020-06-26 09:35:33,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.06,1,2020-06-26 09:35:05,294.1,2,2020-06-26 09:30:21,296.48,1,2020-06-26 09:31:03,192.69,2,2020-06-26 09:34:37,193.97,3,2020-06-26 09:37:53,53.73,6,2020-06-26 09:34:09,54.24,5,2020-06-26 09:30:21,41.54,4,2020-06-26 09:37:41,42.2,8,2020-06-26 09:30:23,119.3,2,2020-06-26 09:33:14,119.9,2,2020-06-26 09:30:23,44.5,48,2020-06-26 09:37:44,44.99,4,2020-06-26 09:30:08
2020-06-26 09:39:00,363.33,1,2020-06-26 09:32:45,365.0,13,2020-06-26 09:31:22,95.11,3,2020-06-26 09:34:11,96.42,2,2020-06-26 09:30:02,171.1,3,2020-06-26 09:34:10,173.85,9,2020-06-26 09:31:18,123.45,12,2020-06-26 09:37:42,124.9,1,2020-06-26 09:30:05,44.93,15,2020-06-26 09:30:06,45.24,4,2020-06-26 09:32:52,87.75,9,2020-06-26 09:37:41,89.0,3,2020-06-26 09:30:05,110.53,2,2020-06-26 09:34:10,111.24,2,2020-06-26 09:30:53,196.27,1,2020-06-26 09:37:15,200.3,1,2020-06-26 09:31:08,244.6,3,2020-06-26 09:30:11,246.2,2,2020-06-26 09:34:55,117.9,2,2020-06-26 09:34:09,119.0,4,2020-06-26 09:31:52,58.28,14,2020-06-26 09:30:20,58.73,8,2020-06-26 09:31:07,138.69,7,2020-06-26 09:37:47,139.94,2,2020-06-26 09:30:13,93.96,20,2020-06-26 09:37:11,95.52,1,2020-06-26 09:30:13,44.67,9,2020-06-26 09:34:11,45.0,5,2020-06-26 09:30:07,181.7,3,2020-06-26 09:36:56,182.84,1,2020-06-26 09:38:17,153.76,2,2020-06-26 09:30:02,155.16,1,2020-06-26 09:31:30,76.11,5,2020-06-26 09:37:05,76.91,2,2020-06-26 09:30:15,198.9,8,2020-06-26 09:32:59,199.98,1,2020-06-26 09:30:16,97.61,10,2020-06-26 09:35:33,98.8,25,2020-06-26 09:30:47,32.08,17,2020-06-26 09:32:00,32.31,1,2020-06-26 09:30:19,117.4,2,2020-06-26 09:30:20,118.5,1,2020-06-26 09:31:15,112.6,2,2020-06-26 09:30:20,114.23,3,2020-06-26 09:38:14,294.1,2,2020-06-26 09:30:21,296.7,5,2020-06-26 09:38:38,192.69,2,2020-06-26 09:34:37,194.21,1,2020-06-26 09:38:48,53.73,6,2020-06-26 09:34:09,54.24,5,2020-06-26 09:30:21,41.54,4,2020-06-26 09:37:41,42.2,8,2020-06-26 09:30:23,119.3,2,2020-06-26 09:33:14,119.9,2,2020-06-26 09:30:23,44.5,48,2020-06-26 09:37:44,44.99,4,2020-06-26 09:30:08
